annus;mes;día;observaciones;código; título; unidad; fuente; notas
1987;1;2;                   6,26000;867333q;RENDIMIENTO DEL BONO A 10 AÑOS. HOLANDA;PORCENTAJE;REFINITIV;Información a cierre de la sesión..  
1987;7;31;                   6,52000;;;;
1987;8;3;                   6,51000;;;;
1987;8;4;                   6,70000;;;;
1987;8;5;                   6,72000;;;;
1987;8;6;                   6,71000;;;;
1987;8;7;                   6,66000;;;;
1987;8;10;                   6,70000;;;;
1987;8;11;                   6,72000;;;;
1987;8;12;                   6,70000;;;;
1987;8;13;                   6,64000;;;;
1987;8;14;                   6,64000;;;;
1987;8;17;                   6,58000;;;;
1987;8;18;                   6,47000;;;;
1987;8;19;                   6,43000;;;;
1987;8;20;                   6,47000;;;;
1987;8;21;                   6,48000;;;;
1987;8;24;                   6,48000;;;;
1987;8;25;                   6,49000;;;;
1987;8;26;                   6,52000;;;;
1987;8;27;                   6,47000;;;;
1987;8;28;                   6,50000;;;;
1987;8;31;                   6,49000;;;;
1987;9;1;                   6,51000;;;;
1987;9;2;                   6,63000;;;;
1987;9;3;                   6,66000;;;;
1987;9;4;                   6,71000;;;;
1987;9;7;                   6,85000;;;;
1987;9;8;                   6,88000;;;;
1987;9;9;                   6,80000;;;;
1987;9;10;                   6,79000;;;;
1987;9;11;                   6,80000;;;;
1987;9;14;                   6,75000;;;;
1987;9;15;                   6,78000;;;;
1987;9;16;                   6,90000;;;;
1987;9;17;                   6,90000;;;;
1987;9;18;                   6,88000;;;;
1987;9;21;                   6,82000;;;;
1987;9;22;                   6,88000;;;;
1987;9;23;                   6,90000;;;;
1987;9;24;                   6,96000;;;;
1987;9;25;                   6,99000;;;;
1987;9;28;                   7,01000;;;;
1987;9;29;                   7,06000;;;;
1987;9;30;                   7,04000;;;;
1987;10;1;                   7,04000;;;;
1987;10;2;                   7,05000;;;;
1987;10;5;                   7,06000;;;;
1987;10;6;                   7,11000;;;;
1987;10;7;                   7,11000;;;;
1987;10;8;                   7,13000;;;;
1987;10;9;                   7,22000;;;;
1987;10;12;                   7,26000;;;;
1987;10;13;                   7,26000;;;;
1987;10;14;                   7,27000;;;;
1987;10;15;                   7,44000;;;;
1987;10;16;                   7,47000;;;;
1987;10;19;                   7,66000;;;;
1987;10;20;                   7,12000;;;;
1987;10;21;                   7,03000;;;;
1987;10;22;                   6,99000;;;;
1987;10;23;                   6,84000;;;;
1987;10;26;                   6,65000;;;;
1987;10;27;                   6,77000;;;;
1987;10;28;                   6,71000;;;;
1987;10;29;                   6,57000;;;;
1987;10;30;                   6,51000;;;;
1987;11;2;                   6,58000;;;;
1987;11;3;                   6,47000;;;;
1987;11;4;                   6,40000;;;;
1987;11;5;                   6,31000;;;;
1987;11;6;                   6,32000;;;;
1987;11;9;                   6,31000;;;;
1987;11;10;                   6,37000;;;;
1987;11;11;                   6,41000;;;;
1987;11;12;                   6,44000;;;;
1987;11;13;                   6,40000;;;;
1987;11;16;                   6,44000;;;;
1987;11;17;                   6,44000;;;;
1987;11;18;                   6,37000;;;;
1987;11;19;                   6,35000;;;;
1987;11;20;                   6,32000;;;;
1987;11;23;                   6,26000;;;;
1987;11;24;                   6,27000;;;;
1987;11;25;                   6,32000;;;;
1987;11;26;                   6,32000;;;;
1987;11;27;                   6,30000;;;;
1987;11;30;                   6,29000;;;;
1987;12;1;                   6,23000;;;;
1987;12;2;                   6,26000;;;;
1987;12;3;                   6,24000;;;;
1987;12;4;                   6,24000;;;;
1987;12;7;                   6,35000;;;;
1987;12;8;                   6,32000;;;;
1987;12;9;                   6,31000;;;;
1987;12;10;                   6,24000;;;;
1987;12;11;                   6,27000;;;;
1987;12;14;                   6,30000;;;;
1987;12;15;                   6,32000;;;;
1987;12;16;                   6,34000;;;;
1987;12;17;                   6,37000;;;;
1987;12;18;                   6,37000;;;;
1987;12;21;                   6,34000;;;;
1987;12;22;                   6,32000;;;;
1987;12;23;                   6,32000;;;;
1987;12;24;                   6,32000;;;;
1987;12;25;                   6,32000;;;;
1987;12;28;                   6,31000;;;;
1987;12;29;                   6,31000;;;;
1987;12;30;                   6,31000;;;;
1987;12;31;                   6,31000;;;;
1988;1;1;                   6,31000;;;;
1988;1;4;                   6,29000;;;;
1988;1;5;                   6,31000;;;;
1988;1;6;                   6,31000;;;;
1988;1;7;                   6,24000;;;;
1988;1;8;                   6,23000;;;;
1988;1;11;                   6,29000;;;;
1988;1;12;                   6,32000;;;;
1988;1;13;                   6,32000;;;;
1988;1;14;                   6,32000;;;;
1988;1;15;                   6,31000;;;;
1988;1;18;                   6,32000;;;;
1988;1;19;                   6,29000;;;;
1988;1;20;                   6,27000;;;;
1988;1;21;                   6,27000;;;;
1988;1;22;                   6,23000;;;;
1988;1;25;                   6,21000;;;;
1988;1;26;                   6,21000;;;;
1988;1;27;                   6,20000;;;;
1988;1;28;                   6,16000;;;;
1988;1;29;                   6,17000;;;;
1988;2;1;                   6,12000;;;;
1988;2;2;                   6,12000;;;;
1988;2;3;                   6,07000;;;;
1988;2;4;                   6,10000;;;;
1988;2;5;                   6,09000;;;;
1988;2;8;                   6,10000;;;;
1988;2;9;                   6,10000;;;;
1988;2;10;                   6,10000;;;;
1988;2;11;                   6,08000;;;;
1988;2;12;                   6,09000;;;;
1988;2;15;                   6,17000;;;;
1988;2;16;                   6,15000;;;;
1988;2;17;                   6,15000;;;;
1988;2;18;                   6,18000;;;;
1988;2;19;                   6,17000;;;;
1988;2;22;                   6,15000;;;;
1988;2;23;                   6,11000;;;;
1988;2;24;                   6,07000;;;;
1988;2;25;                   6,14000;;;;
1988;2;26;                   6,02000;;;;
1988;2;29;                   6,06000;;;;
1988;3;1;                   6,07000;;;;
1988;3;2;                   6,03000;;;;
1988;3;3;                   6,06000;;;;
1988;3;4;                   6,06000;;;;
1988;3;7;                   6,08000;;;;
1988;3;8;                   6,14000;;;;
1988;3;9;                   6,11000;;;;
1988;3;10;                   6,11000;;;;
1988;3;11;                   6,11000;;;;
1988;3;14;                   6,10000;;;;
1988;3;15;                   6,11000;;;;
1988;3;16;                   6,15000;;;;
1988;3;17;                   6,17000;;;;
1988;3;18;                   6,13000;;;;
1988;3;21;                   6,19000;;;;
1988;3;22;                   6,16000;;;;
