fecha	valor
3/1997	247.9
2/1997	69.8
1/1997	13.6
12/1996	2609.8
11/1996	1841.9
10/1996	1592.8
9/1996	1353.4
8/1996	1171.2
7/1996	1057.5
6/1996	834.6
5/1996	658.8
4/1996	494.5
3/1996	337.8
2/1996	137.1
1/1996	59.9
12/1995	2371.8
11/1995	1805.3
10/1995	1577.4
9/1995	1392.6
8/1995	1247.2
7/1995	1091.0
6/1995	868.3
5/1995	688.3
4/1995	534.9
3/1995	300.7
2/1995	156.5
1/1995	13.8
12/1994	2329.2
11/1994	1789.1
10/1994	1587.0
9/1994	1423.1
8/1994	1294.4
7/1994	1187.8
6/1994	924.6
5/1994	744.6
4/1994	598.7
3/1994	362.3
2/1994	208.6
1/1994	21.8
12/1993	2501.2
11/1993	2050.6
10/1993	1852.7
9/1993	1708.6
8/1993	1603.4
7/1993	1475.8
6/1993	1204.7
5/1993	928.9
4/1993	653.3
3/1993	424.8
2/1993	229.9
1/1993	22.5
12/1992	1939.0
11/1992	1698.2
10/1992	1516.4
9/1992	1363.7
8/1992	1236.1
7/1992	1127.9
6/1992	919.1
5/1992	731.3
4/1992	570.2
3/1992	397.8
2/1992	272.9
1/1992	24.4
12/1991	2066.9
11/1991	1716.1
10/1991	1526.3
9/1991	1289.6
8/1991	1150.2
7/1991	1011.7
6/1991	809.8
5/1991	655.8
4/1991	464.1
3/1991	300.9
2/1991	187.1
1/1991	84.3
12/1990	2021.2
11/1990	1476.4
10/1990	1235.6
9/1990	1029.3
8/1990	907.2
7/1990	767.8
6/1990	640.8
5/1990	474.4
4/1990	348.7
3/1990	261.7
2/1990	161.2
1/1990	82.0
12/1989	2052.1
11/1989	1569.6
10/1989	1382.1
9/1989	1144.4
8/1989	1003.9
7/1989	888.2
6/1989	713.1
5/1989	539.4
4/1989	378.9
3/1989	256.1
2/1989	155.6
1/1989	65.6
12/1988	1784.7
11/1988	1203.5
10/1988	1020.4
9/1988	887.5
8/1988	757.0
7/1988	653.8
6/1988	520.8
5/1988	401.5
4/1988	319.3
3/1988	196.2
2/1988	119.6
1/1988	64.7
12/1987	1804.9
11/1987	1400.0
10/1987	1259.7
9/1987	1106.0
8/1987	998.9
7/1987	920.6
6/1987	757.9
5/1987	628.4
4/1987	422.5
3/1987	301.3
2/1987	166.0
1/1987	30.2
12/1986	1527.0
11/1986	1162.8
10/1986	999.5
9/1986	861.0
8/1986	755.4
7/1986	662.0
6/1986	485.1
5/1986	322.3
4/1986	232.2
3/1986	143.7
2/1986	73.0
1/1986	7.7
12/1985	1269.1
11/1985	907.2
10/1985	789.3
9/1985	654.6
8/1985	571.7
7/1985	480.9
6/1985	349.3
5/1985	263.8
4/1985	188.3
3/1985	120.4
2/1985	49.5
1/1985	11.4
12/1984	1205.2
11/1984	865.9
10/1984	759.3
9/1984	664.2
8/1984	604.5
7/1984	535.1
6/1984	428.3
5/1984	357.4
4/1984	281.3
3/1984	160.3
2/1984	64.9
1/1984	14.2
12/1983	1099.7
11/1983	697.5
10/1983	612.6
9/1983	524.5
8/1983	456.1
7/1983	402.5
6/1983	332.8
5/1983	252.4
4/1983	180.4
3/1983	118.7
2/1983	48.7
1/1983	11.0
12/1982	779.0
11/1982	682.8
10/1982	616.5
9/1982	540.2
8/1982	447.9
7/1982	407.5
6/1982	314.5
5/1982	242.5
4/1982	179.5
3/1982	120.8
2/1982	45.7
1/1982	6.3
12/1981	629.1
11/1981	545.5
10/1981	490.9
9/1981	428.9
8/1981	398.9
7/1981	340.1
6/1981	261.7
5/1981	209.3
4/1981	146.4
3/1981	95.5
2/1981	45.4
1/1981	10.7
12/1980	622.4
11/1980	535.6
10/1980	468.4
9/1980	405.8
8/1980	351.9
7/1980	298.5
6/1980	244.7
5/1980	193.2
4/1980	124.2
3/1980	72.7
2/1980	40.4
1/1980	11.5
12/1979	491.5
11/1979	425.8
10/1979	376.0
9/1979	312.0
8/1979	266.9
7/1979	233.4
6/1979	182.2
5/1979	149.9
4/1979	106.6
3/1979	71.8
2/1979	25.6
1/1979	19.3
12/1978	493.0
11/1978	371.8
10/1978	324.3
9/1978	279.9
8/1978	256.3
7/1978	228.5
6/1978	166.0
5/1978	127.9
4/1978	101.9
3/1978	54.3
2/1978	20.2
1/1978	0.7
12/1977	386.4
11/1977	283.3
10/1977	260.4
9/1977	223.6
8/1977	203.3
7/1977	182.5
6/1977	145.5
5/1977	123.1
4/1977	81.4
3/1977	49.7
2/1977	26.5
1/1977	4.8
