fecha	valor
4/1998	5500.6
3/1998	3883.2
2/1998	2568.3
1/1998	1255.8
12/1997	17866.5
11/1997	15571.2
10/1997	14150.3
9/1997	12822.3
8/1997	11495.1
7/1997	10212.6
6/1997	8882.7
5/1997	6714.2
4/1997	5293.6
3/1997	3756.6
2/1997	2498.7
1/1997	1057.2
12/1996	17957.0
11/1996	15699.0
10/1996	14130.1
9/1996	12816.6
8/1996	11461.1
7/1996	10225.7
6/1996	8840.5
5/1996	6741.2
4/1996	5404.3
3/1996	3965.9
2/1996	2545.0
1/1996	924.7
12/1995	16892.5
11/1995	14738.6
10/1995	13451.5
9/1995	12205.6
8/1995	10952.1
7/1995	9740.4
6/1995	8413.5
5/1995	6388.2
4/1995	5126.8
3/1995	3868.6
2/1995	2519.6
1/1995	1199.8
12/1994	15792.8
11/1994	13831.8
10/1994	12617.9
9/1994	11442.4
8/1994	10249.1
7/1994	9134.7
6/1994	7852.7
5/1994	5955.5
4/1994	4761.6
3/1994	3569.2
2/1994	2354.3
1/1994	1149.9
12/1993	15416.8
11/1993	13428.9
10/1993	12220.5
9/1993	11036.0
8/1993	9942.8
7/1993	8802.8
6/1993	7565.0
5/1993	5741.1
4/1993	4587.4
3/1993	3435.8
2/1993	2241.6
1/1993	1086.4
12/1992	14858.1
11/1992	12934.5
10/1992	11744.1
9/1992	10630.5
8/1992	9521.9
7/1992	8509.3
6/1992	7317.5
5/1992	5585.8
4/1992	4539.5
3/1992	3417.8
2/1992	2260.7
1/1992	968.9
12/1991	14319.7
11/1991	12519.4
10/1991	11401.8
9/1991	10312.7
8/1991	9225.2
7/1991	8221.3
6/1991	7078.8
5/1991	5435.8
4/1991	4338.3
3/1991	3277.2
2/1991	2078.9
1/1991	916.3
12/1990	12944.7
11/1990	11245.8
10/1990	10206.8
9/1990	9230.0
8/1990	8228.8
7/1990	7145.1
6/1990	6307.1
5/1990	4775.3
4/1990	3811.9
3/1990	2823.1
2/1990	1782.9
1/1990	812.3
12/1989	11542.4
11/1989	9988.2
10/1989	9098.7
9/1989	8277.4
8/1989	7367.1
7/1989	6525.0
6/1989	5594.5
5/1989	4219.6
4/1989	3318.5
3/1989	2421.4
2/1989	1580.2
1/1989	664.5
12/1988	10396.2
11/1988	8982.2
10/1988	8126.7
9/1988	7349.2
8/1988	6559.0
7/1988	5804.0
6/1988	5003.3
5/1988	3795.9
4/1988	3047.9
3/1988	2254.0
2/1988	1468.6
1/1988	580.6
12/1987	9472.3
11/1987	8177.0
10/1987	7546.5
9/1987	6857.0
8/1987	6094.7
7/1987	5319.3
6/1987	4542.4
5/1987	3561.4
4/1987	2854.4
3/1987	2173.8
2/1987	1385.8
1/1987	604.6
12/1986	8758.1
11/1986	7575.4
10/1986	6874.0
9/1986	6120.6
8/1986	5423.8
7/1986	4837.7
6/1986	4081.5
5/1986	3046.1
4/1986	2315.0
3/1986	1520.5
2/1986	796.4
1/1986	355.9
12/1985	7912.2
11/1985	6734.0
10/1985	6171.8
9/1985	5438.9
8/1985	4948.8
7/1985	4262.1
6/1985	3438.8
5/1985	2732.8
4/1985	2199.7
3/1985	1578.9
2/1985	958.5
1/1985	311.4
12/1984	6919.2
11/1984	5856.9
10/1984	5359.3
9/1984	4820.3
8/1984	4331.3
7/1984	3832.5
6/1984	3196.6
5/1984	2475.7
4/1984	1865.7
3/1984	1406.6
2/1984	863.6
1/1984	182.1
12/1983	7203.1
11/1983	5977.5
10/1983	5413.0
9/1983	4724.4
8/1983	4251.7
7/1983	3861.9
6/1983	3043.3
5/1983	2266.9
4/1983	1810.4
3/1983	1373.9
2/1983	860.0
1/1983	237.1
12/1982	6308.0
11/1982	5597.7
10/1982	5072.5
9/1982	4591.6
8/1982	4110.3
7/1982	3610.1
6/1982	2865.8
5/1982	2317.2
4/1982	1731.3
3/1982	1369.2
2/1982	701.8
1/1982	305.4
12/1981	5732.4
11/1981	4958.2
10/1981	4606.5
9/1981	4207.8
8/1981	3783.7
7/1981	3268.7
6/1981	2540.7
5/1981	1858.0
4/1981	1466.7
3/1981	1064.9
2/1981	765.0
1/1981	218.3
12/1980	5159.1
11/1980	4536.6
10/1980	4032.8
9/1980	3778.3
8/1980	3313.7
7/1980	2753.9
6/1980	2244.4
5/1980	1917.8
4/1980	1509.6
3/1980	1007.0
2/1980	617.3
1/1980	175.8
12/1979	4213.7
11/1979	3622.9
10/1979	3303.4
9/1979	2985.5
8/1979	2618.9
7/1979	2271.0
6/1979	1890.8
5/1979	1536.9
4/1979	1104.0
3/1979	943.3
2/1979	580.8
1/1979	259.6
12/1978	3499.7
11/1978	3041.4
10/1978	2745.5
9/1978	2467.9
8/1978	2175.2
7/1978	1889.6
6/1978	1578.4
5/1978	1207.5
4/1978	963.0
3/1978	654.6
2/1978	375.5
1/1978	168.5
12/1977	2620.2
11/1977	2256.1
10/1977	2044.5
9/1977	1842.2
8/1977	1596.5
7/1977	1429.1
6/1977	1249.8
5/1977	963.6
4/1977	758.0
3/1977	564.0
2/1977	359.0
1/1977	178.7
