fecha	valor
1/1998	1964.0
12/1997	1898.5
11/1997	2097.0
10/1997	2624.9
9/1997	2454.7
8/1997	2103.0
7/1997	2673.1
6/1997	2347.1
5/1997	2416.0
4/1997	2462.7
3/1997	2153.4
2/1997	1835.0
1/1997	1729.2
12/1996	1610.6
11/1996	2001.5
10/1996	2356.6
9/1996	2224.7
8/1996	2024.5
7/1996	2306.7
6/1996	2135.1
5/1996	2261.5
4/1996	2129.1
3/1996	2045.6
2/1996	1819.7
1/1996	1811.4
12/1995	1718.6
11/1995	2168.7
10/1995	2209.4
9/1995	2081.3
8/1995	2024.0
7/1995	2192.3
6/1995	2359.7
5/1995	2432.1
4/1995	2028.6
3/1995	2444.8
2/1995	1956.5
1/1995	1842.2
12/1994	1963.3
11/1994	2123.5
10/1994	2022.6
9/1994	2146.9
8/1994	2039.8
7/1994	2043.2
6/1994	2194.8
5/1994	2098.6
4/1994	2004.6
3/1994	2156.9
2/1994	1728.0
1/1994	1515.7
12/1993	1647.6
11/1993	1825.4
10/1993	1734.0
9/1993	1952.1
8/1993	1754.4
7/1993	2198.7
6/1993	2093.5
5/1993	1983.5
4/1993	1988.8
3/1993	2090.3
2/1993	1843.2
1/1993	1629.7
12/1992	1807.5
11/1992	2095.5
10/1992	2081.4
9/1992	2229.7
8/1992	1930.3
7/1992	2486.1
6/1992	2329.2
5/1992	2281.2
4/1992	2184.2
3/1992	2435.6
2/1992	2154.2
1/1992	2036.1
12/1991	1897.4
11/1991	2384.8
10/1991	2736.2
9/1991	2422.9
8/1991	2159.2
7/1991	2713.8
6/1991	2530.3
5/1991	2765.3
4/1991	2649.7
3/1991	2055.2
2/1991	2152.5
1/1991	2329.9
12/1990	1800.9
11/1990	2484.0
10/1990	2488.5
9/1990	2296.0
8/1990	2364.2
7/1990	2566.5
6/1990	2550.4
5/1990	2811.5
4/1990	2179.5
3/1990	2668.8
2/1990	2230.6
1/1990	2130.8
12/1989	1769.3
11/1989	2179.8
10/1989	2382.9
9/1989	2236.6
8/1989	2194.6
7/1989	2257.7
6/1989	2460.6
5/1989	2335.7
4/1989	2129.9
3/1989	2227.5
2/1989	1964.6
1/1989	1888.1
12/1988	1769.1
11/1988	2055.8
10/1988	1982.8
