fecha	valor
6/1998	2332.0
5/1998	2369.9
4/1998	2442.8
3/1998	2524.0
2/1998	2553.3
1/1998	2577.2
12/1997	2566.9
11/1997	2600.7
10/1997	2577.1
9/1997	2550.6
8/1997	2491.6
7/1997	2519.7
6/1997	2614.3
5/1997	2638.5
4/1997	2699.2
3/1997	2751.6
2/1997	2787.7
1/1997	2782.3
12/1996	2747.0
11/1996	2796.2
10/1996	2776.0
9/1996	2735.8
8/1996	2677.6
7/1996	2712.5
6/1996	2783.1
5/1996	2813.2
4/1996	2891.6
3/1996	2969.5
2/1996	2994.9
1/1996	2995.8
